Game ID,Projected Winning Team,Projected Losing Team,Away Team,Home Team,Away Team Win Percentage,Home Team Win Percentage,Average Away Score,Average Home Score
777914,Los Angeles Angels,San Diego Padres,Los Angeles Angels,San Diego Padres,0.5159,0.4841,3.4204,3.3324
777915,New York Yankees,Seattle Mariners,New York Yankees,Seattle Mariners,0.5156,0.4844,3.4534,3.1918
777916,Arizona Diamondbacks,San Francisco Giants,Arizona Diamondbacks,San Francisco Giants,0.5271,0.4729,3.358,3.0136
777917,Los Angeles Dodgers,Athletics,Athletics,Los Angeles Dodgers,0.4662,0.5338,3.1108,3.5966
777918,Colorado Rockies,Texas Rangers,Colorado Rockies,Texas Rangers,0.5549,0.4451,3.3234,2.7094
777919,New York Mets,Pittsburgh Pirates,Pittsburgh Pirates,New York Mets,0.4434,0.5566,2.789,3.4162
777920,Kansas City Royals,Houston Astros,Kansas City Royals,Houston Astros,0.5022,0.4978,2.9812,3.0014
777921,Chicago Cubs,Miami Marlins,Miami Marlins,Chicago Cubs,0.4557,0.5443,2.8268,3.369
777922,St. Louis Cardinals,Philadelphia Phillies,St. Louis Cardinals,Philadelphia Phillies,0.5317,0.4683,3.3868,2.9938
777923,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays,Toronto Blue Jays,0.513,0.487,3.2212,3.044
777924,Minnesota Twins,Baltimore Orioles,Minnesota Twins,Baltimore Orioles,0.5606,0.4394,3.3344,2.6808
777925,Milwaukee Brewers,Cleveland Guardians,Milwaukee Brewers,Cleveland Guardians,0.5192,0.4808,3.2592,2.9924
777927,Boston Red Sox,Detroit Tigers,Boston Red Sox,Detroit Tigers,0.5146,0.4854,3.2468,3.0738
777928,Cincinnati Reds,Chicago White Sox,Chicago White Sox,Cincinnati Reds,0.4574,0.5426,3.0766,3.5612
777929,Atlanta Braves,Washington Nationals,Washington Nationals,Atlanta Braves,0.4453,0.5547,2.7342,3.4522
777933,St. Louis Cardinals,Philadelphia Phillies,St. Louis Cardinals,Philadelphia Phillies,0.5746,0.4254,3.5892,2.6882
777938,Minnesota Twins,Baltimore Orioles,Minnesota Twins,Baltimore Orioles,0.5181,0.4819,3.3594,3.1718
