team,side,player_name,player_id,game_id,"last_name, first_name",year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba,sprint_speed
Baltimore Orioles,home,Jackson Holliday,702616,777198,"Holliday, Jackson",2025.0,21.0,323.0,346.0,84.0,58.0,13.0,2.0,11.0,85.0,19.0,24.6,5.5,0.26,0.415,0.309,0.724,0.266,0.46,0.317,0.334,28.7
Baltimore Orioles,home,Jordan Westburg,676059,777198,"Westburg, Jordan",2025.0,26.0,144.0,156.0,35.0,20.0,5.0,1.0,9.0,39.0,9.0,25.0,5.8,0.243,0.479,0.301,0.78,0.26,0.49,0.337,0.346,29.1
Baltimore Orioles,home,Gunnar Henderson,683002,777198,"Henderson, Gunnar",2025.0,24.0,317.0,350.0,86.0,56.0,17.0,3.0,10.0,86.0,31.0,24.6,8.9,0.271,0.438,0.34,0.778,0.279,0.415,0.337,0.331,28.4
Baltimore Orioles,home,Ryan O'Hearn,656811,777198,"O'Hearn, Ryan",2025.0,31.0,258.0,299.0,74.0,51.0,12.0,0.0,11.0,51.0,34.0,17.1,11.4,0.287,0.461,0.378,0.839,0.297,0.48,0.365,0.374,27.6
Baltimore Orioles,home,Ramón Laureano,657656,777198,"Laureano, Ramón",2025.0,30.0,190.0,214.0,52.0,28.0,14.0,0.0,10.0,60.0,19.0,28.0,8.9,0.274,0.505,0.346,0.851,0.26,0.474,0.365,0.346,27.6
Baltimore Orioles,home,Colton Cowser,681297,777198,"Cowser, Colton",2025.0,25.0,115.0,125.0,25.0,10.0,7.0,0.0,8.0,40.0,6.0,32.0,4.8,0.217,0.487,0.28,0.767,0.204,0.424,0.33,0.299,27.1
Baltimore Orioles,home,Tyler O'Neill,641933,777198,"O'Neill, Tyler",2025.0,30.0,88.0,102.0,17.0,10.0,3.0,1.0,3.0,29.0,10.0,28.4,9.8,0.193,0.352,0.284,0.636,0.216,0.479,0.278,0.33,28.3
Baltimore Orioles,home,Cedric Mullins,656775,777198,"Mullins II, Cedric",2025.0,30.0,258.0,294.0,55.0,29.0,13.0,0.0,13.0,69.0,31.0,23.5,10.5,0.213,0.415,0.3,0.715,0.217,0.365,0.313,0.3,28.3
Baltimore Orioles,home,Jacob Stallings,607732,777198,"Stallings, Jacob",2025.0,35.0,93.0,103.0,14.0,10.0,4.0,0.0,0.0,34.0,6.0,33.0,5.8,0.151,0.194,0.225,0.419,0.169,0.235,0.199,0.22,23.4
New York Mets,away,Brandon Nimmo,607043,777198,"Nimmo, Brandon",2025.0,32.0,325.0,357.0,83.0,49.0,16.0,0.0,18.0,68.0,26.0,19.0,7.3,0.255,0.471,0.317,0.788,0.268,0.469,0.34,0.344,27.3
New York Mets,away,Francisco Lindor,596019,777198,"Lindor, Francisco",2025.0,31.0,356.0,403.0,93.0,59.0,17.0,0.0,17.0,73.0,31.0,18.1,7.7,0.261,0.452,0.333,0.785,0.262,0.456,0.339,0.342,27.3
