team,side,player_name,player_id,game_id,"last_name, first_name",year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xwoba
Cleveland Guardians,home,Steven Kwan,680757,777944,"Kwan, Steven",2025.0,27.0,161.0,178.0,53.0,41.0,8.0,0.0,4.0,15.0,15.0,8.4,8.4,0.329,0.453,0.39,0.843,0.315,0.424,0.375,0.353
Cleveland Guardians,home,Daniel Schneemann,682177,777944,"Schneemann, Daniel",2025.0,28.0,80.0,91.0,21.0,11.0,5.0,0.0,5.0,25.0,10.0,27.5,11.0,0.263,0.512,0.344,0.856,0.251,0.552,0.373,0.376
Cleveland Guardians,home,José Ramírez,608070,777944,"Ramírez, José",2025.0,32.0,142.0,163.0,41.0,27.0,8.0,0.0,6.0,19.0,15.0,11.7,9.2,0.289,0.472,0.356,0.828,0.298,0.444,0.354,0.349
Cleveland Guardians,home,Kyle Manzardo,700932,777944,"Manzardo, Kyle",2025.0,24.0,124.0,146.0,27.0,14.0,3.0,1.0,9.0,39.0,18.0,26.7,12.3,0.218,0.476,0.315,0.791,0.21,0.465,0.34,0.332
Cleveland Guardians,home,Nolan Jones,666134,777944,"Jones, Nolan",2025.0,27.0,92.0,108.0,14.0,6.0,6.0,0.0,2.0,33.0,15.0,30.6,13.9,0.152,0.283,0.271,0.554,0.216,0.449,0.254,0.334
Cleveland Guardians,home,Carlos Santana,467793,777944,"Santana, Carlos",2025.0,39.0,139.0,164.0,31.0,24.0,3.0,0.0,4.0,30.0,19.0,18.3,11.6,0.223,0.331,0.323,0.654,0.218,0.352,0.297,0.3
Cleveland Guardians,home,Bo Naylor,666310,777944,"Naylor, Bo",2025.0,25.0,95.0,110.0,18.0,10.0,3.0,0.0,5.0,26.0,13.0,23.6,11.8,0.189,0.379,0.284,0.663,0.202,0.421,0.296,0.311
Cleveland Guardians,home,Gabriel Arias,672356,777944,"Arias, Gabriel",2025.0,25.0,129.0,142.0,35.0,23.0,8.0,0.0,4.0,37.0,9.0,26.1,6.3,0.271,0.426,0.324,0.75,0.237,0.407,0.33,0.311
Cleveland Guardians,home,Will Brennan,686823,777944,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland Guardians,home,Angel Martínez,682657,777944,"Martínez, Angel",2025.0,23.0,90.0,95.0,27.0,20.0,5.0,1.0,1.0,16.0,3.0,16.8,3.2,0.3,0.411,0.319,0.73,0.239,0.336,0.319,0.266
Milwaukee Brewers,away,Jackson Chourio,694192,777944,"Chourio, Jackson",2025.0,21.0,177.0,183.0,46.0,25.0,13.0,1.0,7.0,37.0,4.0,20.2,2.2,0.26,0.463,0.279,0.742,0.246,0.416,0.32,0.292
Milwaukee Brewers,away,Daz Cameron,663662,777944,"Cameron, Daz",2025.0,28.0,14.0,15.0,2.0,2.0,0.0,0.0,0.0,7.0,1.0,46.7,6.7,0.143,0.143,0.2,0.343,0.196,0.27,0.166,0.235
Milwaukee Brewers,away,Jake Bauers,641343,777944,"Bauers, Jake",2025.0,29.0,53.0,61.0,15.0,9.0,3.0,0.0,3.0,22.0,8.0,36.1,13.1,0.283,0.509,0.377,0.886,0.23,0.474,0.388,0.349
Milwaukee Brewers,away,William Contreras,661388,777944,"Contreras, William",2025.0,27.0,139.0,164.0,32.0,26.0,2.0,0.0,4.0,32.0,24.0,19.5,14.6,0.23,0.331,0.341,0.672,0.225,0.346,0.303,0.306
Milwaukee Brewers,away,Christian Yelich,592885,777944,"Yelich, Christian",2025.0,33.0,147.0,169.0,31.0,20.0,4.0,0.0,7.0,46.0,20.0,27.2,11.8,0.211,0.381,0.308,0.689,0.244,0.398,0.307,0.324
Milwaukee Brewers,away,Rhys Hoskins,656555,777944,"Hoskins, Rhys",2025.0,32.0,123.0,146.0,34.0,24.0,6.0,0.0,4.0,33.0,20.0,22.6,13.7,0.276,0.423,0.384,0.807,0.263,0.44,0.357,0.357
Milwaukee Brewers,away,Brice Turang,668930,777944,"Turang, Brice",2025.0,25.0,146.0,167.0,43.0,37.0,3.0,0.0,3.0,35.0,17.0,21.0,10.2,0.295,0.377,0.367,0.744,0.274,0.412,0.336,0.346
Milwaukee Brewers,away,Eric Haase,606992,777944,"Haase, Eric",2025.0,32.0,24.0,27.0,7.0,4.0,1.0,0.0,2.0,9.0,2.0,33.3,7.4,0.292,0.583,0.346,0.929,0.283,0.582,0.4,0.39
Milwaukee Brewers,away,Andruw Monasterio,655316,777944,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
